Key,English
PROPSKILL_TXT_100111,Enjoy increased Experience and Drops up to Level 119!
PROPSKILL_TXT_100112,Artifact Power
PROPSKILL_TXT_100113,"Your team's control over artifacts empowers you, increasing your damage against Kalgas!"
PROPSKILL_TXT_100114,Kalgas Poison
PROPSKILL_TXT_100115,Poison spreads through your body.
PROPSKILL_TXT_100116,Kalgas' Dominance
PROPSKILL_TXT_100117,The enemy team has claimed total dominance! Your team cannot damage Kalgas until an artifact is reclaimed.
PROPSKILL_TXT_100118,2nd Anniversary Guild's Enhancement
PROPSKILL_TXT_100119,Donate 2nd Anniversary Tokens to your guild and upgrade this enhancement's level!
PROPSKILL_TXT_100120,Poison (From Weapon)
PROPSKILL_TXT_100121,Stun (From Weapon)
PROPSKILL_TXT_100122,Bleeding (From Weapon)
PROPSKILL_TXT_100123,Increases FP and MP Restoration by 10% for you and your partner for 10 minutes.
PROPSKILL_TXT_100124,Madrigal Stroll
PROPSKILL_TXT_100125,Increases movement speed by 5% for you and your partner for 10 minutes.
PROPSKILL_TXT_100126,Field Outing
PROPSKILL_TXT_100127,Reload the Experience Lock Gauge by 5% of the maximum.
PROPSKILL_TXT_100128,Party Together
PROPSKILL_TXT_100129,Increases party experience by 10% for 30 minutes while you and your partner are in the same party.
PROPSKILL_TXT_100130,Golden Luck
PROPSKILL_TXT_100131,Increases drop rate and Penya gained by 5% for you and your partner for 10 minutes.
PROPSKILL_TXT_100132,Stamina Boost
PROPSKILL_TXT_100133,Increases all stats by 5 for you and your partner for 10 minutes.
PROPSKILL_TXT_100134,Sky's Blessing
PROPSKILL_TXT_100135,Increases flight speed by 3 km/h for you and your partner for 5 minutes.
PROPSKILL_TXT_100136,Cheer of Love
PROPSKILL_TXT_100137,"Cheered on by your partner, your EXP rate is increased by 5%."
PROPSKILL_TXT_100138,Happy Jump
PROPSKILL_TXT_100139,Increases Jump Height by 50 for you and your partner for 10 minutes.
PROPSKILL_TXT_100140,Swift Recovery
PROPSKILL_TXT_100141,Herb Gathering
PROPSKILL_TXT_100142,Gather various herbs.
PROPSKILL_TXT_100143,Wood Cutting
PROPSKILL_TXT_100144,Cut down trees.
PROPSKILL_TXT_100145,Mining
PROPSKILL_TXT_100146,Mine various ores and gems.
PROPSKILL_TXT_100147,Fishing
PROPSKILL_TXT_100148,Catch various fish.
PROPSKILL_TXT_100149,Cooking
PROPSKILL_TXT_100150,Cook various foods.
PROPSKILL_TXT_100151,Alchemy
PROPSKILL_TXT_100152,Produce various potions.
PROPSKILL_TXT_100153,Carpentry
PROPSKILL_TXT_100154,Craft furniture and other items.
PROPSKILL_TXT_100155,Smithing
PROPSKILL_TXT_100156,Create various accessories.
PROPSKILL_TXT_FWC_202501,Grinder's Blessing
PROPSKILL_TXT_FWC_202502,Madrigal's elites guide you!
PROPSKILL_TXT_FWC_202503,Bubble's Fortune
PROPSKILL_TXT_FWC_202504,Madrigal's most fortunate guide you!
PROPSKILL_TXT_150000,Harlequin's Greeting
PROPSKILL_TXT_150001,"Perform a quick step, teleporting behind your target and striking them."
PROPSKILL_TXT_150002,Shadow Attack
PROPSKILL_TXT_150003,"Teleport instantly to the rear of your target to deal damage. If used while invisible, the next auto attack within three seconds will be a critical hit, and the cooldown will be reduced."
PROPSKILL_TXT_150004,Extended Reach
PROPSKILL_TXT_150005,Harlequin's Charge
PROPSKILL_TXT_150006,Gather strength to unleash a powerful charged attack against a single target.
PROPSKILL_TXT_150007,Ferocity
PROPSKILL_TXT_150008,Reduced Charge Time
PROPSKILL_TXT_150009,Quickening
PROPSKILL_TXT_150010,Alter Ego
PROPSKILL_TXT_150011,"Become invisible and spawn a clone at your position. The clone runs in a random direction, reflects damage, and explodes when destroyed."
PROPSKILL_TXT_150012,Long Shadow
PROPSKILL_TXT_150014,Special Yo-Yo Mastery
PROPSKILL_TXT_150015,"Increases Basic Attack Damage and Yo-Yo Range, and grants basic attacks a chance to strike twice."
PROPSKILL_TXT_150016,Heavy String
PROPSKILL_TXT_150017,Long String
PROPSKILL_TXT_150018,Twin String
PROPSKILL_TXT_150019,Critical Yo-Yo Mastery
PROPSKILL_TXT_150020,String Yo-Yo Mastery
PROPSKILL_TXT_150021,Critical Stab
PROPSKILL_TXT_150022,Reduces your Critical Chance but increases your Critical Damage.
PROPSKILL_TXT_150024,Persistence
PROPSKILL_TXT_150026,Shadow Strike
PROPSKILL_TXT_150027,Attacking from behind while invisible deals additional damage.
PROPSKILL_TXT_150028,Agility
PROPSKILL_TXT_150029,Temporarily increases your movement speed after leaving invisibility.
PROPSKILL_TXT_150030,Concentration [Nen]
PROPSKILL_TXT_150031,"Focus your mind to gain Nen. Each Nen stack increases Attack but reduces Max MP, and these effects are multiplied by your current number of stacks. This skill can grant up to 10 Nen stacks."
PROPSKILL_TXT_150032,Forced Critical Hit
PROPSKILL_TXT_150033,Your next basic attack is guaranteed to be a critical hit.
PROPSKILL_TXT_150034,"Your critical chance is capped at 10%, while greatly increasing critical damage."
PROPSKILL_TXT_150035,Barrage
PROPSKILL_TXT_150036,Basic attacks have a chance to fire double arrows.
PROPSKILL_TXT_150037,Double Nock
PROPSKILL_TXT_150038,Sustained Fire
PROPSKILL_TXT_150040,Heavy Shot
PROPSKILL_TXT_150041,Knocks the target back with an arrow.
PROPSKILL_TXT_150042,Sledgehammer
PROPSKILL_TXT_150043,Ricochet
PROPSKILL_TXT_150045,Repelling Shot
PROPSKILL_TXT_150046,Leap backwards after attacking the target.
PROPSKILL_TXT_150047,Great Leap
PROPSKILL_TXT_150048,Cripple
PROPSKILL_TXT_150050,Condor Dive
PROPSKILL_TXT_150051,"Unleash a condor-like force that soars upward before diving down, dealing damage to enemies around you."
PROPSKILL_TXT_150054,Quiver Master
PROPSKILL_TXT_150055,Swift Hands
PROPSKILL_TXT_150056,"Increases your Action Speed, allowing non-magical skills to be performed faster."
PROPSKILL_TXT_150057,Eagle Eye
PROPSKILL_TXT_150058,"Channel the spirit of the eagle, increasing your Bow Range."
PROPSKILL_TXT_150059,Arcane Enchantment
PROPSKILL_TXT_150060,Provide Elemental status to the skills..
PROPSKILL_TXT_150061,Increased Element
PROPSKILL_TXT_150062,Decreased Element
PROPSKILL_TXT_150063,Elemental Debuff
PROPSKILL_TXT_150064,Laughter of La Croix
PROPSKILL_TXT_150065,You can ignore one instance of disable or weaken debuffs
PROPSKILL_TXT_150066,Successfull Debuff
PROPSKILL_TXT_150067,Additional Shield
PROPSKILL_TXT_150069,Chimera's Curse
PROPSKILL_TXT_150070,"Invoke the spirit of Chimera to curse your target, dealing damage and transforming them into an Aibatt. While transformed, they cannot attack. When fully charged, the chance to transform the target is increased by 30%."
PROPSKILL_TXT_150071,Enduring Beast
PROPSKILL_TXT_150072,Certain Fate
PROPSKILL_TXT_150073,Malefic Detonation
PROPSKILL_TXT_150074,"While active, inflicting a Disable-type debuff adds a stack and refreshes the effect's duration. Each stack increases Projectile Speed and amplifies effects that scale with Disable-type debuffs. Stacks up to 4 times."
PROPSKILL_TXT_150075,Weaken at full charge
PROPSKILL_TXT_150076,Ceaseless
PROPSKILL_TXT_150077,Shield
PROPSKILL_TXT_150078,Hexe's Lament
PROPSKILL_TXT_150079,"Deals damage in an area around your target, with a chance to inflict Jinx on enemies hit, preventing them from dealing critical hits and reducing their PvE Damage. When fully charged, the skill lasts longer, deals damage more frequently, and has a higher chance to inflict Jinx."
PROPSKILL_TXT_150080,Distant Echo
PROPSKILL_TXT_150081,Malice
PROPSKILL_TXT_150082,Damage increase
PROPSKILL_TXT_150083,Damnation Surge
PROPSKILL_TXT_150084,"While active, inflicting a Weaken-type debuff adds a stack and refreshes the effect's duration. Each stack increases the duration of debuffs you inflict and amplifies effects that scale with Weaken-type debuffs. Stacks up to 4 times."
PROPSKILL_TXT_150085,Sleep at full charge
PROPSKILL_TXT_150087,Shield
PROPSKILL_TXT_150088,Enhanced Blinkpool
PROPSKILL_TXT_150089,Temporarily increases your movement speed after using Blinkpool.
PROPSKILL_TXT_150090,Increased Damage: Disable
PROPSKILL_TXT_150091,Increased Damage: Weaken
PROPSKILL_TXT_150092,Debuff Damage Reduction
PROPSKILL_TXT_150093,Shield Crush
PROPSKILL_TXT_150094,"Swing your shield at the target, stunning them."
PROPSKILL_TXT_150095,Far Reach
PROPSKILL_TXT_150096,Rapid Bash
PROPSKILL_TXT_150097,Forceful Attack
PROPSKILL_TXT_150098,Maelstrom Strike
PROPSKILL_TXT_150099,"Perform a spinning attack that releases a gust of wind, hitting nearby enemies twice with a chance to stun."
PROPSKILL_TXT_150100,Vertigo
PROPSKILL_TXT_150101,Lingering Daze
PROPSKILL_TXT_150103,Templar's Call
PROPSKILL_TXT_150104,"Launch a chain at your target, pulling them toward you."
PROPSKILL_TXT_150105,Ankle Slice
PROPSKILL_TXT_150106,Relentless Embrace
PROPSKILL_TXT_150107,Dragnet
PROPSKILL_TXT_150108,Rush Attack
PROPSKILL_TXT_150109,Quickly charges at your target and attacks them.
PROPSKILL_TXT_150110,Deep Impact
PROPSKILL_TXT_150111,Ankle Strike
PROPSKILL_TXT_150112,Shield
PROPSKILL_TXT_150113,Sky Splitter
PROPSKILL_TXT_150114,"Split the skies with your two-handed weapon, dealing damage to your target. Requires a two-handed weapon."
PROPSKILL_TXT_150116,Sundering Blow
PROPSKILL_TXT_150117,Endless Horizon
PROPSKILL_TXT_150118,Strong Impact
PROPSKILL_TXT_150119,Last One Standing
PROPSKILL_TXT_150120,Reflects incoming damage while consuming HP over time and preventing you from moving. Can be re-cast to cancel.
PROPSKILL_TXT_150121,Grinding Advance
PROPSKILL_TXT_150122,Iron Will
PROPSKILL_TXT_150123,Unyielding
PROPSKILL_TXT_150124,Increased HP Recovery
PROPSKILL_TXT_150125,Increases your HP recovery from items and skills.
PROPSKILL_TXT_150126,Undying
PROPSKILL_TXT_150127,"Grants stacks of Undying that prevent death. Taking lethal damage consumes one stack and reduces your HP, MP, and FP to 1 instead. The protection ends once all stacks are consumed."
PROPSKILL_TXT_150128,Enhanced HP Recovery
PROPSKILL_TXT_150129,Increases healing received while at low HP.
PROPSKILL_TXT_150130,Increased HP Regeneration
PROPSKILL_TXT_150131,Increases natural HP recovery.
PROPSKILL_TXT_150132,One-handed Mastery
PROPSKILL_TXT_150133,Increase your damage when using one-handed weapons.
PROPSKILL_TXT_150134,Two-handed Mastery
PROPSKILL_TXT_150135,Increase your damage when using two-handed weapons.
PROPSKILL_TXT_150136,Shield Mastery
PROPSKILL_TXT_150137,Increases your Defense while wielding a shield.
PROPSKILL_TXT_150138,Enhanced Physical Defense
PROPSKILL_TXT_150139,Increases your Defense while at low HP.
PROPSKILL_TXT_150140,Enhanced Magical Defense
PROPSKILL_TXT_150141,Increases your Magic Resistance while at low HP.
PROPSKILL_TXT_140000,Asylum's Lesser HP Blessing
PROPSKILL_TXT_140001,"The Asylum fortifies your life force, increasing Max HP by 5%."
PROPSKILL_TXT_140002,Asylum's Greater HP Blessing
PROPSKILL_TXT_140003,"The Asylum fills you with eerie vitality, increasing Max HP by 10%."
PROPSKILL_TXT_140004,Asylum's Lesser Defense Blessing
PROPSKILL_TXT_140005,"The Asylum shields you with spectral protection, increasing Defense by 2%."
PROPSKILL_TXT_140006,Asylum's Greater Defense Blessing
PROPSKILL_TXT_140007,"The Asylum surrounds you with an eerie barrier, increasing Defense by 5%."
PROPSKILL_TXT_140008,Asylum's Lesser Elemental Blessing
PROPSKILL_TXT_140009,"The Asylum imbues your attacks with elemental power, increasing damage dealt with all elements by 5%."
PROPSKILL_TXT_140010,Asylum's Greater Elemental Blessing
PROPSKILL_TXT_140011,"The Asylum strengthens your connection to the elements, increasing damage dealt with all elements by 10%."
PROPSKILL_TXT_140012,Asylum's Lesser Speed Blessing
PROPSKILL_TXT_140013,"The Asylum quickens your movements with otherworldly energy, increasing Speed by 5%."
PROPSKILL_TXT_140014,Asylum's Greater Speed Blessing
PROPSKILL_TXT_140015,"The Asylum surges through you, increasing Speed by 10%."
PROPSKILL_TXT_140016,Asylum's Lesser Attack Blessing
PROPSKILL_TXT_140017,"The Asylum empowers your strikes with otherworldly force, increasing Attack by 5%."
PROPSKILL_TXT_140018,Asylum's Greater Attack Blessing
PROPSKILL_TXT_140019,"The Asylum fills you with unnatural strength, increasing Attack by 10%."
PROPSKILL_TXT_140020,Asylum's Lesser Boss Damage Blessing
PROPSKILL_TXT_140021,"The Asylum empowers your strikes against powerful foes, increasing damage dealt to bosses by 5%."
PROPSKILL_TXT_140022,Asylum's Greater Boss Damage Blessing
PROPSKILL_TXT_140023,"The Asylum fills you with overwhelming force, increasing damage dealt to bosses by 10%."
PROPSKILL_TXT_140024,Asylum's Lesser All Stats Blessing
PROPSKILL_TXT_140025,"The Asylum brings unnatural harmony to your body, increasing all base stats by 5."
PROPSKILL_TXT_140026,Asylum's Greater All Stats Blessing
PROPSKILL_TXT_140027,"The Asylum empowers every aspect of your being, increasing all base stats by 10."
PROPSKILL_TXT_140028,Asylum's Lesser Boss Protection Blessing
PROPSKILL_TXT_140029,"The Asylum veils you in shadow, reducing damage taken from bosses by 5%."
PROPSKILL_TXT_140030,Asylum's Greater Boss Protection Blessing
PROPSKILL_TXT_140031,"The Asylum shields you from powerful foes, reducing damage taken from bosses by 10%."
PROPSKILL_TXT_140032,Asylum's Lesser HP Curse
PROPSKILL_TXT_140033,"The Asylum drains your life force, reducing Max HP by 5%."
PROPSKILL_TXT_140034,Asylum's Greater HP Curse
PROPSKILL_TXT_140035,"The Asylum consumes your vitality, reducing Max HP by 10%."
PROPSKILL_TXT_140036,Asylum's Lesser Defense Curse
PROPSKILL_TXT_140037,"The Asylum weakens your protection, reducing Defense by 2%."
PROPSKILL_TXT_140038,Asylum's Greater Defense Curse
PROPSKILL_TXT_140039,"The Asylum strips away your defenses, reducing Defense by 5%."
PROPSKILL_TXT_140040,Asylum's Lesser Elemental Curse
PROPSKILL_TXT_140041,"The Asylum disrupts your connection to the elements, reducing damage dealt with all elements by 5%."
PROPSKILL_TXT_140042,Asylum's Greater Elemental Curse
PROPSKILL_TXT_140043,"The Asylum severs your connection to the elements, reducing damage dealt with all elements by 10%."
PROPSKILL_TXT_140044,Asylum's Lesser Speed Curse
PROPSKILL_TXT_140045,"The Asylum weighs upon your movements, reducing Speed by 5%."
PROPSKILL_TXT_140046,Asylum's Greater Speed Curse
PROPSKILL_TXT_140047,"The Asylum binds your limbs with supernatural dread, reducing Speed by 10%."
PROPSKILL_TXT_140048,Asylum's Lesser Attack Curse
PROPSKILL_TXT_140049,"The Asylum saps your strength, reducing Attack by 5%."
PROPSKILL_TXT_140050,Asylum's Greater Attack Curse
PROPSKILL_TXT_140051,"The Asylum drains the force from your strikes, reducing Attack by 10%."
PROPSKILL_TXT_140052,Asylum's Lesser Boss Damage Curse
PROPSKILL_TXT_140053,"The Asylum weakens your strikes against powerful foes, reducing damage dealt to bosses by 5%."
PROPSKILL_TXT_140054,Asylum's Greater Boss Damage Curse
PROPSKILL_TXT_140055,"The Asylum suppresses your strength against powerful foes, reducing damage dealt to bosses by 10%."
PROPSKILL_TXT_140056,Asylum's Lesser All Stats Curse
PROPSKILL_TXT_140057,"The Asylum fractures your inner balance, reducing all base stats by 5."
PROPSKILL_TXT_140058,Asylum's Greater All Stats Curse
PROPSKILL_TXT_140059,"The Asylum crushes your very essence, reducing all base stats by 10."
PROPSKILL_TXT_140060,Asylum's Lesser Boss Vulnerability Curse
PROPSKILL_TXT_140061,"The Asylum exposes your weaknesses, increasing damage taken from bosses by 5%."
PROPSKILL_TXT_140062,Asylum's Greater Boss Vulnerability Curse
PROPSKILL_TXT_140063,"The Asylum leaves you vulnerable to powerful foes, increasing damage taken from bosses by 10%."
PROPSKILL_TXT_140064,Trap: Debuff
PROPSKILL_TXT_140065,Deploy a trap that deals damage and has a 15% chance to reduce the target's movement speed.
PROPSKILL_TXT_140066,Pit
PROPSKILL_TXT_140067,You have stepped on a trap.
PROPSKILL_TXT_140068,Trapper's Cache
PROPSKILL_TXT_140069,Cruel Snare
PROPSKILL_TXT_140071,Trap: DoT
PROPSKILL_TXT_140072,Deploy a trap that deals damage over time.
PROPSKILL_TXT_140073,Trapper's Cache
PROPSKILL_TXT_140076,Trap: AoE
PROPSKILL_TXT_140077,Deploy a trap that deals damage in an area.
PROPSKILL_TXT_140078,Trapper's Cache
PROPSKILL_TXT_140081,Trap: Binding
PROPSKILL_TXT_140082,Deploy a trap that immobilizes the target.
PROPSKILL_TXT_140083,Armor Break
PROPSKILL_TXT_140086,Trap: Blast
PROPSKILL_TXT_140087,Deploy a trap that knocks the target back.
PROPSKILL_TXT_140088,Trapper's Cache
PROPSKILL_TXT_140091,Marked Prey
PROPSKILL_TXT_140092,Increases Critical Damage against enemies caught in a trap.
PROPSKILL_TXT_140093,Advanced Trap
PROPSKILL_TXT_140094,Increases your traps' range.
PROPSKILL_TXT_140095,Devastating Sting
PROPSKILL_TXT_140096,Increases your Basic Attack Damage and PvE Damage.
PROPSKILL_TXT_140097,Point Blank
PROPSKILL_TXT_140098,Increased damage for auto attacks when you more than 5m from your target.
PROPSKILL_TXT_140099,Feeble Arms
PROPSKILL_TXT_140100,Monsters take less damage from you but have higher drop rates.
PROPSKILL_TXT_150142,Five Strikes
PROPSKILL_TXT_150143,"Basic attacks have a chance to apply a stack to the target. At 5 stacks, the stacks are consumed to deal additional damage."
PROPSKILL_TXT_150144,Basic Attack Stacks
PROPSKILL_TXT_150145,Execution of Justice
PROPSKILL_TXT_150146,"Leap forward, pulling nearby enemies toward you and reducing their movement speed."
PROPSKILL_TXT_150147,Leap of Faith
PROPSKILL_TXT_150148,Hero's Emergence
PROPSKILL_TXT_150149,Faction Collapse
PROPSKILL_TXT_150150,Lillith's Gaze
PROPSKILL_TXT_150151,"Gaze upon your target with a chance to slow them and force them to move towards you. When fully charged, the chance is increased."
PROPSKILL_TXT_150152,Sure Gaze
PROPSKILL_TXT_150153,Leaden Stare
PROPSKILL_TXT_150155,Cimetiere's Scream
PROPSKILL_TXT_150156,"Invoke the spirit of Cimetiere at the targeted area for a short duration, dealing damage to nearby enemies with a chance to inflict Silence. When fully charged, the skill's damage is increased."
PROPSKILL_TXT_150158,Deafening
PROPSKILL_TXT_150160,Aether Rend
PROPSKILL_TXT_150161,"Removes Disable- and Weaken-type debuffs from your target, up to the number of Malefic Detonation and Damnation Surge stacks you have. All stacks of both effects are consumed, and the skill's damage increases with their combined power."
PROPSKILL_TXT_150162,Additional Buffs
PROPSKILL_TXT_150163,Additional Damage
PROPSKILL_TXT_150165,Yo-Yo Storm
PROPSKILL_TXT_150166,"Spin your yo-yos in place, continuously attacking nearby enemies."
PROPSKILL_TXT_150167,Wide Orbit
PROPSKILL_TXT_150169,Tangled Strings
PROPSKILL_TXT_150170,Toxic Cloud
PROPSKILL_TXT_150171,"Throw a vial of toxins at the targeted area, creating a poisonous mist that damages nearby enemies and has a chance to inflict Poison."
PROPSKILL_TXT_150172,Spreading Miasma
PROPSKILL_TXT_150174,Gas Cloud
PROPSKILL_TXT_150175,Bloody Rush
PROPSKILL_TXT_150176,"Rush forward, slashing the first enemy hit, inflicting Bleeding and reducing their movement speed."
PROPSKILL_TXT_150177,Crimson Charge
PROPSKILL_TXT_150178,Strong Impact
PROPSKILL_TXT_150179,Bloody Release
PROPSKILL_TXT_150180,Cross of Blood
PROPSKILL_TXT_150181,"Charge up a blood-infused stomp that explodes, damaging nearby enemies and inflicting Bleeding. Fully charged stomps strike additional times."
PROPSKILL_TXT_150183,Berserk
PROPSKILL_TXT_150184,Shockwave
PROPSKILL_TXT_150185,Bloody Thorn
PROPSKILL_TXT_150186,Creates an explosion that knocks back enemies and inflicts Bleeding. Charging the skill increases its range.
PROPSKILL_TXT_150187,Scarlet Burst
PROPSKILL_TXT_150189,Blood Penetration
PROPSKILL_TXT_150190,Storm Slash
PROPSKILL_TXT_150191,Conjure a whirlwind in front of you.
PROPSKILL_TXT_150192,Twin Cyclone
PROPSKILL_TXT_150193,Rending Winds
PROPSKILL_TXT_150194,Airborne
PROPSKILL_TXT_150195,Storm Strike
PROPSKILL_TXT_150196,"Strike your target's lower body with a chance to knock them down. If they are knocked down, the skill can be used again to deal increased damage."
PROPSKILL_TXT_150197,Fatal Strike
PROPSKILL_TXT_150198,Off Balance
PROPSKILL_TXT_150199,Hamstring
PROPSKILL_TXT_150200,Tempest Barrage
PROPSKILL_TXT_150201,Creates a sword aura that damages nearby enemies and increases your Defense.
PROPSKILL_TXT_150202,Tailwind
PROPSKILL_TXT_150203,Razor Winds
PROPSKILL_TXT_150205,First Blood
PROPSKILL_TXT_150206,Increases Skill Damage at the cost of additional HP consumption. Defeating enemies afflicted with Bleeding restores HP.
PROPSKILL_TXT_150207,Left-Handed
PROPSKILL_TXT_150208,Increases damage dealt by basic attacks with your off-hand weapon.
PROPSKILL_TXT_150209,Ambidextrous
PROPSKILL_TXT_150210,"Improves your ability to wield weapons in both hands simultaneously, increasing your Attack."
PROPSKILL_TXT_150211,Blood Armor
PROPSKILL_TXT_150212,Reduces damage taken as your HP decreases.
PROPSKILL_TXT_150213,Master of Sword
PROPSKILL_TXT_150214,Reduces 3rd Job skill cooldowns and increases Critical Chance based on the number of swords equipped.
PROPSKILL_TXT_150215,Master of Axe
PROPSKILL_TXT_150216,"Increases 3rd Job Skill Damage, Block, and Hit Rate based on the number of axes equipped."
PROPSKILL_TXT_150217,Survival Stance
PROPSKILL_TXT_150218,Enhance your defense shortly after being affected by a disable or immobility type debuff.
PROPSKILL_TXT_150219,Blessing of the Wise
PROPSKILL_TXT_150220,Perform a blessing that removes Disable-type debuffs from you and nearby allies. Can only be used while in a party.
PROPSKILL_TXT_150221,Clarity
PROPSKILL_TXT_150222,Purity
PROPSKILL_TXT_150223,Far Grace
PROPSKILL_TXT_150224,Soul of Rhisis
PROPSKILL_TXT_150225,Chant a hymn that reduces damage taken by you and nearby allies. The effect grows stronger as you continue chanting.
PROPSKILL_TXT_150226,Resonance
PROPSKILL_TXT_150228,Enduring Grace
PROPSKILL_TXT_150229,Celestial Barrier
PROPSKILL_TXT_150230,Chant a hymn that increases All Elements Resistance for you and nearby allies. The effect grows stronger as you continue chanting.
PROPSKILL_TXT_150234,Heaven's Step
PROPSKILL_TXT_150235,Chant a hymn that increases Parry and Block for you and nearby allies. The effect grows stronger as you continue chanting.
PROPSKILL_TXT_150239,Gloria Patri
PROPSKILL_TXT_150240,Chant a hymn that heals you and nearby allies over time. The effect grows stronger as you continue chanting.
PROPSKILL_TXT_150244,Kyrie Eleison
PROPSKILL_TXT_150245,"Chant a hymn that increases Attack, Magical Power, and Tenacity for you and nearby allies. The effect grows stronger as you continue chanting."
PROPSKILL_TXT_150249,Flow of Salvation
PROPSKILL_TXT_150250,"Breathe the flow of salvation into your target. If they are an ally, it heals them and flows to nearby allies. If they are an enemy, it deals damage and flows to nearby enemies."
PROPSKILL_TXT_150251,Abundance
PROPSKILL_TXT_150253,Increased Chain
PROPSKILL_TXT_150254,Hymn - Damage Reduction
PROPSKILL_TXT_150255,Reduces damage taken while chanting a hymn.
PROPSKILL_TXT_150256,Hymn - Perfect Performance
PROPSKILL_TXT_150257,Hymns chanted to completion have their cooldowns reduced.
PROPSKILL_TXT_150258,Hymn - Quick Step
PROPSKILL_TXT_150259,"While a hymn is being chanted, walking speed is increased."
PROPSKILL_TXT_150260,Hymn - Liberation
PROPSKILL_TXT_150261,Allows multiple hymns to be chanted at the same time.
PROPSKILL_TXT_150262,Nen Overflow
PROPSKILL_TXT_150263,"Consumes all your Nen stacks to enter Nen Overflow. While in Nen Overflow, Attack is increased, Max MP is reduced, certain skills use their Nen Enhancement variations, and Nen cannot be gained."
PROPSKILL_TXT_150264,Form Enhancement
PROPSKILL_TXT_150265,Mind Enhancement
PROPSKILL_TXT_150266,Aura Enhancement
PROPSKILL_TXT_150267,Overcharge
PROPSKILL_TXT_150268,Nen Afterimage
PROPSKILL_TXT_150270,Power Palm
PROPSKILL_TXT_150271,"Attack your target, gaining Nen stacks.\n\n[Nen Enhancement]: Has a chance to knock the target down. If used on a target restrained by Force Grip, strikes multiple times."
PROPSKILL_TXT_150272,Nen Mastery
PROPSKILL_TXT_150273,Potency
PROPSKILL_TXT_150275,Initiating Strike
PROPSKILL_TXT_150276,"Strike your target. If the target is knocked down, dash forward to quickly close the gap.\n\n[Nen Enhancement]: Grants Tenacity when used."
PROPSKILL_TXT_150277,Nen Mastery
PROPSKILL_TXT_150278,Withering Nen
PROPSKILL_TXT_150280,Staggering Strike
PROPSKILL_TXT_150281,Attack a single target with a chance to knock them down.\n\n[Nen Enhancement]: Increases your Block when used.
PROPSKILL_TXT_150282,Sweeping Blow
PROPSKILL_TXT_150283,Leg Attack
PROPSKILL_TXT_150285,Force Grip
PROPSKILL_TXT_150286,"Grab the target, preventing both of you from moving, attacking, or using skills.\n\n[Nen Enhancement]: Allows you to use skills while restraining the target."
PROPSKILL_TXT_150287,Diamond Body
PROPSKILL_TXT_150288,Wide Grasp
PROPSKILL_TXT_150290,Nen Sphere
PROPSKILL_TXT_150291,Focus your mind to launch a damaging orb toward your target.
PROPSKILL_TXT_150292,Orb Barrage
PROPSKILL_TXT_150293,Nen Conservation
PROPSKILL_TXT_150295,Aura Bomb
PROPSKILL_TXT_150296,"Channel energy from the surrounding environment, gathering it into a massive sphere before unleashing it upon the targeted area for devastating damage.\n\n[Nen Enhancement]: Leaves behind a lingering field of energy at the point of impact, damaging enemies over time and reducing their movement speed."
PROPSKILL_TXT_150297,Hasty Detonation
PROPSKILL_TXT_150298,Expanse
PROPSKILL_TXT_150300,Enlightenment
PROPSKILL_TXT_150301,Increases knuckle damage.
PROPSKILL_TXT_150302,Quick Movement
PROPSKILL_TXT_150303,Lethal Insight
PROPSKILL_TXT_150304,Swift Invocation
PROPSKILL_TXT_150305,Bubble's Blessing
PROPSKILL_TXT_150306,Cast an aura that increases Critical Damage and Attack for you and nearby allies. Cannot be used with other auras at the same time. Can be re-cast to cancel.
PROPSKILL_TXT_150309,Outreach
PROPSKILL_TXT_150310,Touch of Rhisis
PROPSKILL_TXT_150311,"Cast an aura that increases Defense and Incoming Healing for you and nearby allies. While active, you take increased damage. Cannot be used with other auras at the same time. Can be re-cast to cancel."
PROPSKILL_TXT_150315,Ire of Iblis
PROPSKILL_TXT_150316,"Cast an aura that increases Critical Resistance and All Elements Resistance for you and nearby allies. While active, you take increased damage, offset by your Aura Effect. Cannot be used with other auras at the same time. Can be re-cast to cancel."
PROPSKILL_TXT_150320,Meditate
PROPSKILL_TXT_150321,"Enter a meditative state that reduces Incoming Damage, increases Incoming Healing, and shortens the natural HP recovery interval. Can be re-cast to cancel."
PROPSKILL_TXT_150322,Deep Meditation
PROPSKILL_TXT_150323,Adamantine Body
PROPSKILL_TXT_150324,Nen Mastery
PROPSKILL_TXT_150325,Nen Storage
PROPSKILL_TXT_150326,Nen-consuming skills have a chance to consume only half the required Nen stacks.
PROPSKILL_TXT_150327,Mental Unity
PROPSKILL_TXT_150328,Reduces the maximum MP penalty from Nen stacks.
PROPSKILL_TXT_150329,Clear Reflection
PROPSKILL_TXT_150330,"At 20 Nen stacks, critical hits have a chance to deal maximum damage. At maximum level, critical hits always deal maximum damage."
PROPSKILL_TXT_150331,Tenacity
PROPSKILL_TXT_150332,Reduces the duration of debuffs inflicted on you.
PROPSKILL_TXT_150333,Marked Attack
PROPSKILL_TXT_150334,"Basic attacks leave a stacking mark on the target. At 5 stacks, the mark deals additional damage and grants 1 Nen stack."
PROPSKILL_TXT_150335,Nen Acquisition
PROPSKILL_TXT_150336,Increases the chance to gain an additional Nen stack when using Concentration [Nen].
PROPSKILL_TXT_150337,Toxic Assault
